inf_at,inf_lt,inf_ni,inf_revt,inf_cost,inf_emp,gvkey,fyear
1119888396.3855891,351735170.6437655,138230044.79279384,1048056338.7612994,879127147.1925447,12547.423287,002572.SZ,2018.0
1191213879.548099,361509862.2806968,153720489.59140238,1079178359.115348,909625148.001726,12143.229,002572.SZ,2019.0
1482939949.5988462,579324119.9193896,167015522.01651916,1139742902.4122765,957986005.0782793,13166.0,002572.SZ,2020.0
358710460.6931894,18506924.904157806,36395525.277323976,98680440.5397455,57764681.11837258,942.0885451938442,002623.SZ,2011.0
355292521.7030744,28420014.88931525,11862907.598689616,98489260.83329467,84597471.1905092,1510.251217512869,002623.SZ,2012.0
361384164.3579571,34347270.04264998,9711173.690620853,110672013.66813448,99616510.84357604,1508.9525477856782,002623.SZ,2013.0
399365659.7711856,75798325.8219516,5811990.594467375,132579540.76397447,126981913.12544128,1359.228008365434,002623.SZ,2014.0
402061594.827838,77114904.61953647,8218158.998738924,164525824.36603802,153510126.7800865,1291.7269926958409,002623.SZ,2015.0
635924522.2872101,314118824.29389817,2548925.5471779555,207375564.98257264,207329121.34994328,1671.3034051384177,002623.SZ,2016.0
690101164.0714244,379174469.3083758,-2776730.4823289644,234849252.790793,239194177.04776943,1485.8468916480003,002623.SZ,2017.0
606299735.4045485,287667074.27794164,11817520.91942405,219384134.17304423,235570898.4527616,827.8798920000002,002623.SZ,2018.0
520854579.5202903,225062630.15856203,-13183649.46023506,166293431.36215523,184257899.74701065,842.7510000000001,002623.SZ,2019.0
553146225.1588721,231459831.2925039,19154910.675505582,245999780.2904108,234629409.43645328,804.0,002623.SZ,2020.0
399420780.3102334,197151558.9949957,20028366.351682704,244599454.65379715,225265554.523377,2606.783694906436,002689.SZ,2012.0
410980669.80028754,204391844.3423705,24588279.711037327,260516645.7802888,236227423.3177234,2568.454451552498,002689.SZ,2013.0
427457371.0215133,214830816.78843257,29025074.087864246,300862912.8939678,267851516.21002656,2691.429113499078,002689.SZ,2014.0
389652569.3967872,184823855.80275893,17647304.901016448,240035058.94955796,221926214.6221229,2405.7035188754166,002689.SZ,2015.0
371265379.8613277,159013250.5570998,10326486.504757589,184180222.068945,174834863.80121168,2120.9765688662133,002689.SZ,2016.0
