inf_at,inf_lt,inf_ni,inf_revt,inf_cost,inf_emp,gvkey,fyear
17709188.529429644,6098545.723109263,-676171.3808138202,58403002.68821523,48810471.3877084,229.0,10305,2012.0
17273623.96967122,5913251.9421354765,-109528.25048969436,63080630.77621584,52517522.52550043,275.0,10305,2013.0
17630673.016733825,6208566.656237918,242169.2329535,72027152.74212311,60313941.39693698,287.0,10305,2014.0
17401189.732746597,5704478.025234672,492766.1251501698,75332702.00979964,63004903.86130592,320.0,10305,2015.0
17932833.154458873,8360019.088724688,330650.10563432943,77200630.82036155,64534757.74408534,428.0,10305,2016.0
16286238.645895349,6215126.81797816,591916.8398074439,79153653.12569089,66491991.67170286,417.0,10305,2017.0
14951624.265217476,6700436.692015842,-1593694.7517417066,75557354.47254467,63821748.957847886,389.0,10305,2018.0
21989162.885564163,15244235.29987776,-1311707.85172416,68871651.77778336,58170631.95012961,338.0,10305,2019.0
24980704.6896,18777296.53008,-687741.8011200001,78753874.36752,65618120.399040006,606.0,10305,2020.0
27538529.04,11105193.96,7835036.04,110036517.12,91682020.8,632.0,10305,2021.0
25215840.0,7665840.0,1881360.0,109547640.0,90400320.0,431.0,10305,2022.0
7911518.170326198,1958064.05180244,637031.3331950966,9059348.821382802,7083670.999998931,,11815,1984.0
25866178.084588222,6096424.562700555,2687943.424459386,37116136.06109521,28936907.169494186,795.0,11815,1985.0
46503393.636895135,10177117.051107625,3844266.05107242,73372504.05746491,58373074.46879295,1500.0,11815,1986.0
58097838.25958319,13013425.20054268,7814453.854290226,127366799.56572932,100614759.31532057,1950.0,11815,1987.0
78993379.60262303,24978326.842256367,9946551.95191849,184650724.21787933,147553817.00263867,3420.0,11815,1988.0
120444929.34558168,48814793.92577852,13811822.8331472,285225142.50889415,229226321.8866549,4730.0,11815,1989.0
142662051.71340305,52558834.19138088,18826446.554526765,342598395.1626675,275452072.49951696,6000.0,11815,1990.0
175255243.34066266,59104750.806231365,24858058.51053852,439132923.06381416,349409364.43524766,7500.0,11815,1991.0
241991128.8852652,92535558.82169472,32690184.18555332,531535521.7566112,415755996.229525,10500.0,11815,1992.0
333203574.1577379,90317878.71379542,42331292.4337377,698353719.7482276,544714066.352517,13900.0,11815,1993.0
422171078.7717055,134551518.25272405,45503760.52133954,829546754.3626869,657389240.7511854,15915.0,11815,1994.0
504967084.8269967,165711101.36372337,52946096.90269502,1006212630.4933465,818138749.008937,15540.0,11815,1995.0
711525484.0531639,257005500.95592785,-13826148.11479064,1440981004.1385725,1190626565.686844,24100.0,11815,1996.0
752100534.105227,255105085.56784943,53294970.64825777,1506767232.7877896,1250119094.0100389,24800.0,11815,1997.0
850455050.7284309,304448440.28355694,71685398.70753603,1582791597.424013,1280787867.6958551,24350.0,11815,1998.0
