inf_at,inf_lt,inf_ni,inf_revt,inf_cost,inf_emp,gvkey,fyear
0.0,0.0,,111777893.1174784,84756746.46550818,,DE000A31C3Y4,2009.0
0.0,0.0,,101566163.8974094,78037723.03128844,,DE000A31C3Y4,2008.0
609313437.9725707,449674002.8821172,3900898.587996,211343915.4324276,149224782.0817477,,FR0000033003,2023.0
738910665.2104123,518254868.64720345,16789958.52607538,224549643.7006693,153676542.7967832,241.0,FR0000033003,2021.0
619108300.0544236,427431986.8429728,7829654.35939863,213430578.09323677,152030360.6819033,244.0,FR0000033003,2020.0
582755344.9409386,422233729.8161407,-2552226.5166285858,219820126.86960372,172346366.18574384,232.0,FR0000033003,2019.0
548056626.9049022,359919839.080002,-7418501.945060921,291687513.6762181,264755186.021125,232.0,FR0000033003,2017.0
864469561.097186,650491622.5842053,-15811944.330080938,495451843.136341,435676878.2459339,872.0,FR0000033003,2016.0
945206878.808626,722063229.1250691,-32838627.62885404,477383581.1092521,424962411.394062,873.0,FR0000033003,2015.0
1207757251.3838863,900125530.7131991,-21496132.154475268,631233854.0408183,567970617.0945715,785.0,FR0000033003,2014.0
1259352495.9626443,947452310.86472,-25883292.3866139,590737140.79158,504511932.4940441,720.0,FR0000033003,2013.0
1297523844.6044374,1008284495.5660658,15290082.746989803,598473164.4723258,496207152.904552,760.0,FR0000033003,2012.0
1133287558.828734,859931427.767979,25098186.55970763,627387406.6816778,520061552.6325843,700.0,FR0000033003,2011.0
618919984.3296584,437057200.0656565,-4511567.281608488,217318660.50897512,181262744.40700376,258.0,FR0000033003,2018.0
650671841.8636588,475791678.0011556,8498068.381000584,239629139.9439639,173734113.92816985,246.0,FR0000033003,2022.0
1028139147.068246,774676059.122535,24013320.766486444,547002644.560462,450173337.79517007,667.0,FR0000033003,2010.0
1063918368.9958676,819809928.3402547,26867811.01523144,514473242.81205374,418808842.7800154,,FR0000033003,2009.0
1039685524.5421536,827351192.429739,34907085.08763092,756407242.4948266,642726522.7893456,,FR0000033003,2008.0
750706437.7918522,614648828.9611644,23282107.467654943,552525468.236746,484454950.2938172,575.0,FR0000033003,2007.0
491792459.2542247,378201169.9951478,13522146.331605123,475533196.0561082,431393664.21290267,,FR0000033003,2006.0
397005579.7203543,288806735.8394396,7855780.312366928,427222043.87627614,398522080.1824182,,FR0000033003,2005.0
363846553.5401718,272040583.85029864,6353716.509096268,356659368.46817887,262629499.24792257,308.0,FR0000033003,2004.0
315629565.89938736,229637217.0018459,4724530.984789753,308536332.7314878,233609574.70022884,279.0,FR0000033003,2003.0
291081275.17005473,209623856.37719253,3926505.1895361454,230560013.27249265,165228587.36341527,299.0,FR0000033003,2002.0
419565353.51491904,330416547.20849353,4441107.12967502,200554806.70885152,136413247.151424,343.0,FR0000033003,2001.0
357920931.9357057,266935852.26476625,3280088.7547587496,197754427.90162575,178410530.2072215,303.0,FR0000033003,2000.0
320816881.6409162,239406545.4813169,11139450.773418443,176278231.52128133,149255585.52312785,276.0,FR0000033003,1999.0
218345971.22968647,154298186.84743765,9734045.348785548,138695371.4128129,116660950.82163972,238.0,FR0000033003,1998.0
181630203.40514705,120776599.4486561,20871989.90940787,102466102.13940504,83400625.12035376,205.0,FR0000033003,1997.0
116153122.21091114,74904150.56101939,6309266.848895061,74083210.13987865,59051404.39475712,155.0,FR0000033003,1996.0
2565842788.973635,2096472424.775582,,486400454.2278807,,27.0,FR0000120909,1988.0
2709513599.510779,2239852144.1954126,,552942567.9012618,,30.0,FR0000120909,1990.0
2399136192.5753555,1983201878.969136,,464545002.9809247,,30.0,FR0000120909,1989.0
2569128895.704484,2091071187.620822,,491157497.7197792,,23.0,FR0000120909,1987.0
218404191.6191781,74430224.25753424,11494237.419178084,157918285.6849315,129268507.15342462,549.0,GB0009896605,2023.0
227567303.39717263,81245317.00655343,13366117.656197255,170140819.48352876,140656814.99546298,534.0,GB0009896605,2022.0
212738152.46701545,79399356.04178737,12222723.0056459,120278615.33850892,98461567.95822307,445.0,GB0009896605,2019.0
202085766.1084244,66597006.63236938,12504057.77325118,129048819.37989762,102747619.91695613,459.0,GB0009896605,2018.0
152903114.30619374,58659355.83219349,9686298.7133858,95903550.4709618,77425201.50176767,344.0,GB0009896605,2016.0
157386320.48703092,64631616.13074494,9430872.631114677,110109519.2380443,89754971.0676608,380.0,GB0009896605,2017.0
